text,created_at,favorites,location
36 #Stocks Announce #Earnings BMO Thur 3/4 $HCM $MCS $MEI $PACK $PRPL $QTT $SALM $SFE $SMLP $SOHO $SRLP $SYRS $TTC $TWI $VYNE $WVE $XFOR ... #stock #StockMarket #Investment #trading #invest #investing #Options #OptionsTrading #Apple #UOA #market https://t.co/YcCtCSZzuD https://t.co/fk48U7DBKh,2021-03-03 23:59:24,0,
RT olivier_nisse: Why let our small #businesses die ? #hclswlobp #hclswfrance #nocode #lowcode #javascript #github #microsoft #apple #node… Translated using #MicrosoftFlow,2021-03-04 23:59:32,0,
@MasterGiveaway7 Bismillah. Done all step.  #Apple #giveaway #Giveaways #Sweepstakes #communitygiveaway #win #free #Competition #freebie #ContestAlert #contest #iPhone #iPhoneXR #prize #prizes https://t.co/eGhJajLguj,2021-03-05 23:59:24,0,
*WIN A IPHONE 12 256GB*  To enter #FOLLOW US &amp; #RETWEET   You MUST do both of the above to be entered in the draw!  Ends 28th May 2021  T&amp;C’s at https://t.co/0ENijL8Can   #Competition #Win #iPhone #iPhone12 #Apple #Giveaways #Giveaway #CompetitionTime https://t.co/yvofviy8Tv,2021-03-06 23:59:28,0,
"Don't be ashamed to copy-paste other's business ideas, we are not smart enough than #Facebook/#Google/#Apple... who do this every day #Buisness #saas",2021-03-07 23:57:25,0,
"IUIC TV, Going Live Worldwide! Available on all streaming platforms. Easy access to #classes, #documentaries, and more! Download the app today!   https://t.co/nktcC9IDKs  #IUIC #APPLETV #ROKU #APPLE #ANDROID #AMAZONFIRESTICK  #SAMSUNGTV https://t.co/zwMgHjwY9C",2021-03-08 23:59:50,0,
RT olivier_nisse: Why let our small #businesses die ? #hclswlobp #hclswfrance #nocode #lowcode #javascript #github #microsoft #apple #node… Translated using #MicrosoftFlow,2021-03-04 23:59:32,0,
*WIN A IPHONE 12 256GB*  To enter #FOLLOW US &amp; #RETWEET   You MUST do both of the above to be entered in the draw!  Ends 28th May 2021  T&amp;C’s at https://t.co/0ENijL8Can   #Competition #Win #iPhone #iPhone12 #Apple #Giveaways #Giveaway #CompetitionTime https://t.co/yvofviy8Tv,2021-03-06 23:59:28,0,
"Don't be ashamed to copy-paste other's business ideas, we are not smart enough than #Facebook/#Google/#Apple... who do this every day #Buisness #saas",2021-03-07 23:57:25,0,
"IUIC TV, Going Live Worldwide! Available on all streaming platforms. Easy access to #classes, #documentaries, and more! Download the app today!   https://t.co/nktcC9IDKs  #IUIC #APPLETV #ROKU #APPLE #ANDROID #AMAZONFIRESTICK  #SAMSUNGTV https://t.co/zwMgHjwY9C",2021-03-08 23:59:50,0,
Check out ERASE INVADERS! Not your average retro-inspired game. Let the chaos begin! https://t.co/c5QOqo1bEb #indiegame #gamedev #indiedev #pixelart #pixel #indievideogames #ios #indiegames #videogames #apple #ios #indiegamedev 38,2021-03-09 23:58:56,5,
Power went out but thank for for smart phones! #iPhone12 #Apple,2021-03-10 23:59:31,0,
 Amazon now shipping Pink AirPods Max (Sponsored by @AppleiDeals)  #apple #amazon #airpodsmax https://t.co/bkq7UepmgY,2021-03-11 23:59:39,0,
*WIN A IPHONE 12 256GB*  To enter #FOLLOW US &amp; #RETWEET   You MUST do both of the above to be entered in the draw!  Ends 28th May 2021  T&amp;C’s at https://t.co/0ENijL8Can   #Competition #Win #iPhone #iPhone12 #Apple #Giveaways #Giveaway #CompetitionTime https://t.co/yvofviy8Tv,2021-03-06 23:59:28,0,
"Don't be ashamed to copy-paste other's business ideas, we are not smart enough than #Facebook/#Google/#Apple... who do this every day #Buisness #saas",2021-03-07 23:57:25,0,
"IUIC TV, Going Live Worldwide! Available on all streaming platforms. Easy access to #classes, #documentaries, and more! Download the app today!   https://t.co/nktcC9IDKs  #IUIC #APPLETV #ROKU #APPLE #ANDROID #AMAZONFIRESTICK  #SAMSUNGTV https://t.co/zwMgHjwY9C",2021-03-08 23:59:50,0,
Check out ERASE INVADERS! Not your average retro-inspired game. Let the chaos begin! https://t.co/c5QOqo1bEb #indiegame #gamedev #indiedev #pixelart #pixel #indievideogames #ios #indiegames #videogames #apple #ios #indiegamedev 38,2021-03-09 23:58:56,5,
Power went out but thank for for smart phones! #iPhone12 #Apple,2021-03-10 23:59:31,0,
 Amazon now shipping Pink AirPods Max (Sponsored by @AppleiDeals)  #apple #amazon #airpodsmax https://t.co/bkq7UepmgY,2021-03-11 23:59:39,0,
Browse &amp; make beautiful Apple Watch faces https://t.co/gTy8RyACvu #applewatch #apple #applewatchseries4 Give your Watch a facelift :) https://t.co/ozFDt0zR3j,2021-03-12 23:59:14,0,
*WIN A IPHONE 12 256GB*  To enter #FOLLOW US &amp; #RETWEET   You MUST do both of the above to be entered in the draw!  Ends 28th May 2021  T&amp;C’s at https://t.co/0ENijL8Can   #Competition #Win #iPhone #iPhone12 #Apple #Giveaways #Giveaway #CompetitionTime https://t.co/yvofviy8Tv,2021-03-06 23:59:28,0,
"Don't be ashamed to copy-paste other's business ideas, we are not smart enough than #Facebook/#Google/#Apple... who do this every day #Buisness #saas",2021-03-07 23:57:25,0,
"IUIC TV, Going Live Worldwide! Available on all streaming platforms. Easy access to #classes, #documentaries, and more! Download the app today!   https://t.co/nktcC9IDKs  #IUIC #APPLETV #ROKU #APPLE #ANDROID #AMAZONFIRESTICK  #SAMSUNGTV https://t.co/zwMgHjwY9C",2021-03-08 23:59:50,0,
Check out ERASE INVADERS! Not your average retro-inspired game. Let the chaos begin! https://t.co/c5QOqo1bEb #indiegame #gamedev #indiedev #pixelart #pixel #indievideogames #ios #indiegames #videogames #apple #ios #indiegamedev 38,2021-03-09 23:58:56,5,
Power went out but thank for for smart phones! #iPhone12 #Apple,2021-03-10 23:59:31,0,
 Amazon now shipping Pink AirPods Max (Sponsored by @AppleiDeals)  #apple #amazon #airpodsmax https://t.co/bkq7UepmgY,2021-03-11 23:59:39,0,
Browse &amp; make beautiful Apple Watch faces https://t.co/gTy8RyACvu #applewatch #apple #applewatchseries4 Give your Watch a facelift :) https://t.co/ozFDt0zR3j,2021-03-12 23:59:14,0,
